Link,Clock,ProcessedBytes,utilization
Switch: edge2->host4,1.0,50000000,50.0
Switch: edge1->Switch: core1,1.0,50000000,50.0
Switch: core1->Switch: edge2,1.0,50000000,50.0
host1->Switch: edge1,1.0,50000000,50.0
Switch: edge1->Switch: core1,6.0,700000,0.7000000000000001
host1->Switch: edge1,6.0,700000,0.7000000000000001
Switch: core2->Switch: edge3,6.0,700000,0.7000000000000001
Switch: edge3->host6,6.0,700000,0.7000000000000001
host4->Switch: edge2,11.0,600000,0.6
Switch: edge1->Switch: core1,11.0,600000,0.6
Switch: edge2->Switch: core1,11.0,600000,0.6
host1->Switch: edge1,11.0,600000,0.6
Switch: core2->Switch: edge3,11.0,1200000,1.2
Switch: edge3->host6,11.0,1200000,1.2
Switch: edge1->Switch: core1,21.0,2000000,2.0
Switch: core1->Switch: edge1,21.0,4000000,4.0
host1->Switch: edge1,21.0,2000000,2.0
Switch: edge1->host1,21.0,4000000,4.0
Switch: edge3->Switch: core2,21.0,4000000,4.0
Switch: core2->Switch: edge3,21.0,2000000,2.0
host6->Switch: edge3,21.0,4000000,4.0
Switch: edge3->host6,21.0,2000000,2.0
